Table,Abbreviation,Description,Module,Activity code,TablesMappedToModelOnly,TablesMappedToSubModel,linkedTablewithDescription,ListOfKeysWithDuplicate,ListOfKeysWithNoplicate,ListOfKeys
SPREASON,SPR,Sales price list reasons,Common Data,,Sales,"Sales Invoice,Sales Price",,,PRIREN(Reason) +   ,PRIREN(Reason) +   
STOTRK,STR,Traceability,Stock,,,,"FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  )",__||__VCRTYP(Entry type) +   VCRNUM(Entry) +   VCRLIN(Entry line no.) +   __||__ITMREF(Product) +   SERNUM-IPTDAT +   MVTSEQ(Sequence) +   STOFCY(Storage site) +   ,ITMREF(Product) +   LOT(Lot) +   SLO-IPTDAT +   MVTSEQ(Sequence) +   STOFCY(Storage site) +   __||__ __||__ ,ITMREF(Product) +   LOT(Lot) +   SLO-IPTDAT +   MVTSEQ(Sequence) +   STOFCY(Storage site) +    __||__   VCRTYP(Entry type) +   VCRNUM(Entry) +   VCRLIN(Entry line no.) +    __||__   ITMREF(Product) +   SERNUM-IPTDAT +   MVTSEQ(Sequence) +   STOFCY(Storage site) +   
SPRICFICH,SPF,Customer prices (records),Sales,,Sales,Sales Price,SPRICCONF  (Customer pricing parameters  ),,PLI(Price list code) +   PLICRD(Price list record) +   ,PLI(Price list code) +   PLICRD(Price list record) +   
STOTRKWRK,SKW,Traceability workfile,Stock,,,,"FACILITY  (Sites  ) , ITMMASTER  (Products  )",__||__,PRONUM(Process number) +   LEV(Level) +   __||__ CREUSR(Creation user) +   CREDAT(Date created) +   PRONUM(Process number) +   LEV(Level) +   ,PRONUM(Process number) +   LEV(Level) +    __||__   CREUSR(Creation user) +   CREDAT(Date created) +   PRONUM(Process number) +   LEV(Level) +   
TABLOCTYP,TLO,Location type table,Stock,,Stock,Stock,"FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  )",__||__,STOFCY(Stock site) +   LOCTYP(Location type) +   __||__ STOFCY(Stock site) +   LOCCAT(Location category) +   LOCTYP(Location type) +   ,STOFCY(Stock site) +   LOCTYP(Location type) +    __||__   STOFCY(Stock site) +   LOCCAT(Location category) +   LOCTYP(Location type) +   
TABPRECOD,PRC,Preparation code,Stock,,,,FACILITY  (Sites  ),__||__STOFCY(Storage site) +   PRECOD(Preparation code) +   ,STOFCY(Storage site) +   NUMCRIT(No. criteria) +   PRECOD(Preparation code) +   __||__ ,STOFCY(Storage site) +   NUMCRIT(No. criteria) +   PRECOD(Preparation code) +    __||__   STOFCY(Storage site) +   PRECOD(Preparation code) +   
TABWIPSTO,TWS,Locked stock quantities,Stock,,,,"FACILITY  (Sites  ) , ITMMASTER  (Products  )",__||__STOFCY(Storage site) +   ITMREF(Product) +   __||__VCRTYP(Entry type) +   VCRNUM(Order no.) +   VCRLIN(Entry line no.) +   ,STOCOU(Chronological stock) +   STOSEQ(Sequence no.) +   __||__ __||__ ,STOCOU(Chronological stock) +   STOSEQ(Sequence no.) +    __||__   STOFCY(Storage site) +   ITMREF(Product) +    __||__   VCRTYP(Entry type) +   VCRNUM(Order no.) +   VCRLIN(Entry line no.) +   
SREMAC,SRM,Base concerned,Common Data,,Customer relation,Service request,"SERREQUEST  (Service requests  ) , FAMPB  (Skill group  ) , MACHINES  (Installed base  )",,SRENUM(Service request) +   MACNUM(Base concerned) +   ,SRENUM(Service request) +   MACNUM(Base concerned) +   
SREMACCPN,SRN,Components concerned,Common Data,,Customer relation,Service request,"ITMMASTER  (Products  ) , SERREQUEST  (Service requests  ) , MACHINES  (Installed base  )",SRENUM(Service request) +   MACNUM(Base concerned) +   TPYFLG(Temp record) +   ,,SRENUM(Service request) +   MACNUM(Base concerned) +   TPYFLG(Temp record) +   
SRESAT,SRS,Request status history,Help-Desk,,,,,SRENUM +   ,,SRENUM +   
SRESTAT,SST,Requested statistics,Common Data,,,,,USR(User) +   ,,USR(User) +   
STATION,STX,Weighing location,Manufacturing,MWM,,,,,STI(Weighing location) +   ,STI(Weighing location) +   
STATIONBOX,SBX,Location/booth configuration,Manufacturing,MWM,,,"FACILITY  (Sites  ) , WAREHOUSE  (Warehouses  ) , QLYCRD  (Technical sheets  ) , STATION  (Weighing location  )",__||__STI(Weighing location) +   BOX(Weighing booth) +   ,BOX(Weighing booth) +   FCY(Manufacturing site) +   __||__ ,BOX(Weighing booth) +   FCY(Manufacturing site) +    __||__   STI(Weighing location) +   BOX(Weighing booth) +   
STKMVTITC,SMI,Movement with value pending,Common Data,,,,"FACILITY  (Sites  ) , ITMFACILIT  (Products-sites  )",,ITCSTRDAT(Valid from) +   ITMREF(Product) +   STOFCY(Storage site) +   CSTTYP(Cost type) +   ,ITCSTRDAT(Valid from) +   ITMREF(Product) +   STOFCY(Storage site) +   CSTTYP(Cost type) +   
TABCABCUT,CUT,BC division rules,Manufacturing,MWM,,,FACILITY  (Sites  ),,FCY(Site) +   ,FCY(Site) +   
TANKS,TKS,Tanks,Manufacturing,MWM,,,"FACILITY  (Sites  ) , ITMMASTER  (Products  ) , STOLOC  (Locations  ) , USERGUIDES  (User guides  )",,TKS(Tanks) +   FCY(Site) +   ,TKS(Tanks) +   FCY(Site) +   
TANKSGATES,TGT,Gate tank assignments,Manufacturing,MWM,,,FACILITY  (Sites  ),__||__,TGTTKS(Tanks) +   FCY(Site) +   TGTLIN(Line number) +   __||__ TGTTKS(Tanks) +   FCY(Site) +   TGTGTS(Gates) +   ,TGTTKS(Tanks) +   FCY(Site) +   TGTLIN(Line number) +    __||__   TGTTKS(Tanks) +   FCY(Site) +   TGTGTS(Gates) +   
STOLOT,STL,Lot numbers,Stock,,Manufacturing,Master Planning Schedule,"BPSUPPLIER  (Suppliers  ) , ITMMASTER  (Products  )",__||____||____||__,ITMREF(Product) +   LOT(Lot) +   SLO(Sublot) +   __||__ ITMREF(Product) +   LOTCREDAT(Lot created) +   LOT(Lot) +   SLO(Sublot) +   __||__ ITMREF(Product) +   SHLDAT(Expiration date) +   LOTCREDAT(Lot created) +   LOT(Lot) +   SLO(Sublot) +   __||__ SHLDAT(Expiration date) +   ITMREF(Product) +   LOT(Lot) +   SLO(Sublot) +   ,ITMREF(Product) +   LOT(Lot) +   SLO(Sublot) +    __||__   ITMREF(Product) +   LOTCREDAT(Lot created) +   LOT(Lot) +   SLO(Sublot) +    __||__   ITMREF(Product) +   SHLDAT(Expiration date) +   LOTCREDAT(Lot created) +   LOT(Lot) +   SLO(Sublot) +    __||__   SHLDAT(Expiration date) +   ITMREF(Product) +   LOT(Lot) +   SLO(Sublot) +   
STOPRED,PRE,Pick ticket detail,Stock,,,,"TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , TABPACKAGE  (Packaging table  )",__||__ORINUM(Document no.) +   ORILIN(Line no.) +   ORISEQ(Sequence no.) +   ,PRHNUM(Pick ticket) +   PRELIN(Preparation line) +   __||__ ,PRHNUM(Pick ticket) +   PRELIN(Preparation line) +    __||__   ORINUM(Document no.) +   ORILIN(Line no.) +   ORISEQ(Sequence no.) +   
TABACCLIK,TCK,Reciprocal accounts,Common Data,,,,"FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  )",,COA(Chart of accounts) +   FCY1(Site 1) +   FCY2(Site 2) +   ,COA(Chart of accounts) +   FCY1(Site 1) +   FCY2(Site 2) +   
TABMAT,TMA,ID numbers,Common Data,,,,"FACILITY  (Sites  ) , TABWRKCTR  (Work center groups  ) , SFTSHIFT  (  )",__||__USR(User code) +   ,EMPNUM(Employee ID) +   __||__ ,EMPNUM(Employee ID) +    __||__   USR(User code) +   
TABPLACE,TPC,Transit area,Common Data,,,,"FACILITY  (Sites  ) , BPSUPPLIER  (Suppliers  ) , TABPLACE  (Transit area  )",,TPC(Location) +   ,TPC(Location) +   
STOWIPW,SWW,Stock being processed,Stock,,,,,,STOCOU(Chronological stock) +   PRONUM(Process number) +   SEQ(Sequence) +   ,STOCOU(Chronological stock) +   PRONUM(Process number) +   SEQ(Sequence) +   
SUCURSAL,SCU,Branch,Common Data,KAG,,,,, +   , +   
SWIEZAG,SWIEZ,Temporary table,A/P-A/R accounting,KSW,,,,,DAT(Date) +   ,DAT(Date) +   
TABUNAVAIL,TUV,Unavailable periods,Common Data,,Common data,Company and Sites,"AGRPFCY  (Site groupings  ) , TABUNAVAIL  (Unavailable periods  )",,UVYCOD(Unavailable) +   ,UVYCOD(Unavailable) +   
SWRKDLV,SWD,Automatic delivery generation,Sales,,,,"TABMODELIV  (Delivery methods  ) , BPDLVCUST  (Ship-to customer  ) , BPCUSTOMER  (Customers  )",__||__PRONUM(Process number) +   SOHNUM(Order no.) +   ,PRONUM(Process number) +   SWDKEY(Data) +   SOHNUM(Order no.) +   SOPLIN(Sales order line) +   SOQSEQ(Sequence number) +   __||__ ,PRONUM(Process number) +   SWDKEY(Data) +   SOHNUM(Order no.) +   SOPLIN(Sales order line) +   SOQSEQ(Sequence number) +    __||__   PRONUM(Process number) +   SOHNUM(Order no.) +   
SWRKINV,SWI,Automatic billing,Sales,,,,,__||__PRONUM(Process number) +   NUM(Document no.) +   ,PRONUM(Process number) +   SWIKEY(Data) +   SWIKEY1(Data) +   NUM(Document no.) +   LIN(Line number) +   SEQ(Sequence) +   __||__ ,PRONUM(Process number) +   SWIKEY(Data) +   SWIKEY1(Data) +   NUM(Document no.) +   LIN(Line number) +   SEQ(Sequence) +    __||__   PRONUM(Process number) +   NUM(Document no.) +   
SYNCDATA,SYD,Synchronization data,CRM activities,,,,,__||__SYDUSR +   ,SYDNUM +   __||__ ,SYDNUM +    __||__   SYDUSR +   
TMPARPT,TARPT,Temporary print key table,A/P-A/R accounting,,,,AREPORT  (Report dictionary  ),,NUMREQ(Query no.) +   USR(Operator) +   RPTCOD(Report code) +   VCRNUM(Document no.) +   ,NUMREQ(Query no.) +   USR(Operator) +   RPTCOD(Report code) +   VCRNUM(Document no.) +   
SYNCLINK,SYL,Synchronise cross reference,CRM activities,,,,,,SYLNUM +   ,SYLNUM +   
SYNCPAR,SYP,Synchronization setup,CRM activities,,,,,,SYPUSR +   ,SYPUSR +   
TAAAXXX,XXX,Template table to copy,Common Data,,,,,,XXXNUM() +   ,XXXNUM() +   
TABPACKAGE,TPA,Packaging table,Common Data,,Sales,"Normal Sales Orders,Sales Deliveries","AREPORT  (Report dictionary  ) , TABUNIT  (Table of units of measure  ) , TABPACKAGE  (Packaging table  )",,PCK(Packaging) +   ,PCK(Packaging) +   
TABALLRUL,TRU,Allocation and issue rules,Common Data,,Stock,Stock,,,TRUCOD(Rule) +   ,TRUCOD(Rule) +   
TMPCRPT,TCRPT,Temporary print key table,Common Data,,,,AREPORT  (Report dictionary  ),,NUMREQ(Query no.) +   USR(Operator) +   RPTCOD(Report code) +   VCRNUM(Document no.) +   ,NUMREQ(Query no.) +   USR(Operator) +   RPTCOD(Report code) +   VCRNUM(Document no.) +   
TABCOEFF,TCO,Conversion factor table,Supervisor,,,,TABUNIT  (Table of units of measure  ),,UOM1(Unit 1) +   UOM2(Unit 2) +   ,UOM1(Unit 1) +   UOM2(Unit 2) +   
TABCOSTMET,TCM,Valuation methods,Common Data,,Stock,Stock,,,VLTCOD(Valuation method) +   ,VLTCOD(Valuation method) +   
TABFILCASH,TFC,Treasury file,Financials,CASIN,,,,__||__MODULE(Module) +   CODCAS(Zone code) +   __||__,MODULE(Module) +   CODCAS(Zone code) +   CODPAR(Parameter code) +   __||__ __||__ MODULE(Module) +   CODPAR(Parameter code) +   CODCAS(Zone code) +   ,MODULE(Module) +   CODCAS(Zone code) +   CODPAR(Parameter code) +    __||__   MODULE(Module) +   CODCAS(Zone code) +    __||__   MODULE(Module) +   CODPAR(Parameter code) +   CODCAS(Zone code) +   
TABGEOCOD,TGE,Geographic codes,Common Data,,,,,,GEOCOD(Geographic code) +   ,GEOCOD(Geographic code) +   
TABLINCFG,TLP,Product lines,Common Data,,Common data,Item,"CFGSCE  (Configurator scenarios  ) , TABCTL  (Response table  )",,CFGLIN(Product line) +   ,CFGLIN(Product line) +   
TABMSG,TMS,Message table,Common Data,,,,,,MSGNUM(Message) +   ,MSGNUM(Message) +   
TABPLACETIME,TPCT,Transport lead time,Common Data,,,,"BPCARRIER  (Carriers  ) , TABPLACE  (Transit area  )",,DPETPC(Transit - start) +   ARVTPC(Transit - arrival) +   TRNTPC(Transport mode) +   BPTNUM(Carrier) +   ,DPETPC(Transit - start) +   ARVTPC(Transit - arrival) +   TRNTPC(Transport mode) +   BPTNUM(Carrier) +   
TABPRTMOD,TPM,Print template table,Common Data,,,,,,TPMCOD(Template code) +   ,TPMCOD(Template code) +   
TABREOPOL,TRP,Reorder policies table,Common Data,,"Common data,Manufacturing","Item,Master Planning Schedule",,,REOPOL(Reorder policy) +   ,REOPOL(Reorder policy) +   
TABROUND,TRN,Roundings,Common Data,,,,,,RNDCOD(Rounding code) +   ,RNDCOD(Rounding code) +   
TABSAFSTO,TSA,Safety stock factor,Stock,,,,,,SRVRAT(Service rate) +   ,SRVRAT(Service rate) +   
TABSCA,TSR,Rejects,Common Data,,,,,,SCANUM(Rejection) +   ,SCANUM(Rejection) +   
TABUNIT,TUN,Table of units of measure,Supervisor,,"Accounting,Common data,Manufacturing,Purchasing,Sales","Accounting Entry,Accounting Entry By Lot,Item,Technical Data,Manufacturing Orders,Purchase Requests,Normal Purchase Orders,Cumulative Purchase Orders,Purchase Receipts,Purchase Returns,Purchase Invoice,External Orders,Quotation,Normal Sales Orders,Cumulative Sales Orders,Sales Deliveries,Sales Invoice,Sales Returns",TABUNIT  (Table of units of measure  ),,UOM(Unit) +   ,UOM(Unit) +   
TABSTASTO,TST,Stock status report,Common Data,,,,TABSTASTO  (Stock status report  ),,STASTO(Status) +   ,STASTO(Status) +   
TABWEEDIA,TWD,Weekly structures,Common Data,,Manufacturing,"Technical Data,Master Planning Schedule",DIAHOU  (Time table schemas  ),,TWD(Weekly structure) +   ,TWD(Weekly structure) +   
TABWRKCTR,TWC,Work center groups,Manufacturing,,Manufacturing,Technical Data,,__||__WCRDES(W/C title) +   ,WCR(Work center group) +   __||__ ,WCR(Work center group) +    __||__   WCRDES(W/C title) +   
TACONTAINERC,TCTRC,Container clobs,Common Data,,,,TABCONTAINER  (Freight container  ),,TCTRNUM(Container) +   ,TCTRNUM(Container) +   
TAUTILIS,TAU,Safe X3 WAS users,Common Data,TCAYT,,,,,USR +   ,USR +   
TBASKET,TBA,Shopping basket,Common Data,TCAYT,,,,__||__,NUM +   __||__ USR +   SOHNUM +   STAT +   ,NUM +    __||__   USR +   SOHNUM +   STAT +   
TBASKETD,TBD,Shopping basket line,Common Data,TCAYT,,,,__||__,NUM +   BASKLIN +   __||__ NUM +   ITMREF +   ,NUM +   BASKLIN +    __||__   NUM +   ITMREF +   
TDUPDCLC,TUC,Serial No. - calculation modification,Manufacturing,,,,,,MFGNUM(Order no.) +   ,MFGNUM(Order no.) +   
TEXCLOB,TXC,Text files,Common Data,,,,,__||__IDENT1(Identifier 1) +   IDENT2(Identifier 2) +   IDENT3(Identifier 3) +   ,CODE(Code) +   __||__ ,CODE(Code) +    __||__   IDENT1(Identifier 1) +   IDENT2(Identifier 2) +   IDENT3(Identifier 3) +   
TEXCPT,TCC,Text counter by table,Common Data,,,,,,ABRFIC(Table abbreviation) +   ,ABRFIC(Table abbreviation) +   
TGRLIS,TGL,Dictionary of targets,CRM activities,,,,,,TGRTAB +   ,TGRTAB +   
TGRLISFIE,TLF,Target inquiry,CRM activities,,,,,TGRTAB +   TGRSSPNUM +   __||__,__||__ TGRTAB +   TGRSSPNUM +   TGRTABLNK +   TGRFIE +   ,TGRTAB +   TGRSSPNUM +    __||__   TGRTAB +   TGRSSPNUM +   TGRTABLNK +   TGRFIE +   
TGRLISLNK,TLL,Linked tables,CRM activities,,,,,__||__,TGRTAB +   TGRLNK +   __||__ TGRTAB +   TGRLNK +   TGRLNKIDX +   ,TGRTAB +   TGRLNK +    __||__   TGRTAB +   TGRLNK +   TGRLNKIDX +   
TGRSSP,TGP,Presentation support,CRM activities,,,,,__||__TGR +   TGRSSPNUM +   ,TGRSSPNUM +   __||__ ,TGRSSPNUM +    __||__   TGR +   TGRSSPNUM +   
TITMLINK,TIK,Linked WAS items,Common Data,TCAYT,,,,,ITMREF +   ITMLNK +   ,ITMREF +   ITMLNK +   
TITMMASTER,TIT,Web items,Common Data,TCAYT,,,,,ITMREF +   ,ITMREF +   
TMP2054,T54,2054 fiscal statement Temporary table,Fixed Assets,,,,,,EDTNUM +   CPY +   CLATXS +   POSTXS +   ,EDTNUM +   CPY +   CLATXS +   POSTXS +   
TMP2055,T55,Fiscal statem. 2055 temp. table,Fixed Assets,,,,,,EDTNUM +   CPY +   CLATXS +   POSTXS +   ,EDTNUM +   CPY +   CLATXS +   POSTXS +   
TMP2855,TVS,Temporary table Fisc. Stmt 2855,Fixed Assets,,,,,,EDTNUM +   CPY +   IMPSTRDAT +   AASREF +   ,EDTNUM +   CPY +   IMPSTRDAT +   AASREF +   
TMPCPTDTA,TCD,Accounting interface -data,Fixed Assets,,,,,,TRTNUM +   PCENUM +   SEQNUM +   DSP +   CCE +   ,TRTNUM +   PCENUM +   SEQNUM +   DSP +   CCE +   
TMPDERO,TDE,Temporary table,Fixed Assets,,,,,__||__,EDTNUM +   CPY +   FCY +   AASREF +   __||__ EDTNUM +   AASREF +   ,EDTNUM +   CPY +   FCY +   AASREF +    __||__   EDTNUM +   AASREF +   
TMPDFD,TDF,DFDDPEreport temp table,Fixed Assets,,,,,__||__,EDTNUM +   CPY +   FCY +   AASREF +   __||__ EDTNUM +   AASREF +   ,EDTNUM +   CPY +   FCY +   AASREF +    __||__   EDTNUM +   AASREF +   
TMPEXPENSE,EXT,Temporary table - Expenses,A/P-A/R accounting,,,,"TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , GTYPACCENT  (Document types  ) , TABVAT  (Tax code table  ) , PIMPL  (  ) , TABEXPENS  (Expenses tables  )",CPY(Company) +   CUR(Currency) +   BPRGTETYP(Entry type) +   FCY(Site) +   SEP(Separator) +   DATEXS(Date) +   __||__,__||__ ACCNUM(Internal number) +   ,CPY(Company) +   CUR(Currency) +   BPRGTETYP(Entry type) +   FCY(Site) +   SEP(Separator) +   DATEXS(Date) +    __||__   ACCNUM(Internal number) +   
TMPFAS1PAGE,T1PG,Tmp. depr. one page report,Fixed Assets,,,,,CPY +   AASREF +   ,,CPY +   AASREF +   
TMPFAS246G,T246,Tmp. depreciation report,Fixed Assets,,,,,CPY +   AASREF +   DPRPLN +   POSTXS +   ,,CPY +   AASREF +   DPRPLN +   POSTXS +   
TMPFASLIST,TFL,Temporary print key table,Fixed Assets,,,,,__||__,EDTNUM +   AASREF +   __||__ EDTNUM +   CPY +   FCY +   AASREF +   ,EDTNUM +   AASREF +    __||__   EDTNUM +   CPY +   FCY +   AASREF +   
TMPFASPHY,TPH,Temp table elem assignment,Fixed Assets,PHY,,,,,NUMLIG +   ,NUMLIG +   
TMPFUP0,TF0,Campaign criteria,A/P-A/R accounting,FUP,,,"ATABDIV  (Miscellaneous tables  ) , FACILITY  (Sites  ) , AGRPFCY  (Site groupings  ) , BPARTNER  (Business partner  ) , GCOA  (Chart of accounts  ) , GRPSAC  (Control groups  ) , TABPAM  (Payment mode table  ) , FUPGRP  (Reminder groups  ) , TMPFUP0  (Campaign criteria  ) , GFUPSCR  (Reminders screen  ) , SALESREP  (Sales rep  )",__||__,QURNUM(Campaign number) +   __||__ CREDAT(Date created) +   QURNUM(Campaign number) +   ,QURNUM(Campaign number) +    __||__   CREDAT(Date created) +   QURNUM(Campaign number) +   
TMPFUP1,TF1,BPs for reminding,A/P-A/R accounting,FUP,,,"COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TMPFUP0  (Campaign criteria  )",__||__BPC(Bill-to/Order BP) +   __||__CPY(Company) +   ,NUMREQ(Campaign number) +   BPC(Bill-to/Order BP) +   CPY(Company) +   FCY(Site) +   __||__ __||__ ,NUMREQ(Campaign number) +   BPC(Bill-to/Order BP) +   CPY(Company) +   FCY(Site) +    __||__   BPC(Bill-to/Order BP) +    __||__   CPY(Company) +   
TMPFUP2,TF2,Open items to remind,A/P-A/R accounting,FUP,,,"ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABDEPAGIO  (Early discount/late charge table  ) , TMPFUP0  (Campaign criteria  )",__||__NUMDUD(Due date number) +   __||__BPC(BP) +   __||__BPC(BP) +   FUPMOD(Reminder method) +   __||__NUMREQ(Campaign number) +   FCY(Site) +   __||__NUMREQ(Campaign number) +   LEVFUP(Reminder level) +   ,NUMREQ(Campaign number) +   NUMDUD(Due date number) +   __||__ __||__ __||__ __||__ __||__ ,NUMREQ(Campaign number) +   NUMDUD(Due date number) +    __||__   NUMDUD(Due date number) +    __||__   BPC(BP) +    __||__   BPC(BP) +   FUPMOD(Reminder method) +    __||__   NUMREQ(Campaign number) +   FCY(Site) +    __||__   NUMREQ(Campaign number) +   LEVFUP(Reminder level) +   
TMPFUPCMT,TCF,Open item comments,A/P-A/R accounting,FUP,,,,,NUMDUD(Due date number) +   ,NUMDUD(Due date number) +   
TMPINVEXP,IEX,Export to symbol PDT3100,Fixed Assets,,,,,, +   , +   
TMPINVEXPW,IEW,Export to windows ADC,Fixed Assets,,,,,, +   , +   
TMPIPTACPT,IPT,Temporary allocation table,A/P-A/R accounting,,,,,,TYP +   NUM +   LIN +   LEDTYP +   ,TYP +   NUM +   LIN +   LEDTYP +   
TMPKRPT,TKRPT,Temporary print key table,Stock,,,,AREPORT  (Report dictionary  ),,NUMREQ(Query no.) +   USR(Operator) +   RPTCOD(Report code) +   VCRNUM(Document no.) +   ,NUMREQ(Query no.) +   USR(Operator) +   RPTCOD(Report code) +   VCRNUM(Document no.) +   
TMPLEARNT,TLR,Temporary table,Fixed Assets,,,,,,EDTNUM +   CPY +   ,EDTNUM +   CPY +   
TMPLISLOF,TLI,Temporary print key table,Fixed Assets,,,,,__||__,EDTNUM +   CODLOF +   LINLOF +   __||__ EDTNUM +   CPY +   FCY +   CODLOF +   LINLOF +   ,EDTNUM +   CODLOF +   LINLOF +    __||__   EDTNUM +   CPY +   FCY +   CODLOF +   LINLOF +   
TMPLOFGRP,TLG,Temporary table,Fixed Assets,,,,,__||____||__EDTNUM +   AASREF +   ,EDTNUM +   CPY +   FCY +   AASREF +   CODLOF +   LINLOF +   __||__ EDTNUM +   CODLOF +   LINLOF +   __||__ ,EDTNUM +   CPY +   FCY +   AASREF +   CODLOF +   LINLOF +    __||__   EDTNUM +   CODLOF +   LINLOF +    __||__   EDTNUM +   AASREF +   
TMPMASFA2,MF2,Temporary table asset actions,Fixed Assets,,,,,__||__,TRTNUM +   OBJREF +   __||__ TRTNUM +   CPY +   OBJREF +   ,TRTNUM +   OBJREF +    __||__   TRTNUM +   CPY +   OBJREF +   
TMPMASFAS,MFS,Temporary table asset actions,Fixed Assets,,,,,__||__,TRTNUM +   OBJREF +   __||__ TRTNUM +   CPY +   OBJREF +   ,TRTNUM +   OBJREF +    __||__   TRTNUM +   CPY +   OBJREF +   
TMPMASLCK,TML,Mass action table lock,Fixed Assets,,,,,TRTNUM +   OBJREF +   __||__,__||__ TRTNUM +   OBJREF +   OBJLIN +   ,TRTNUM +   OBJREF +    __||__   TRTNUM +   OBJREF +   OBJLIN +   
TMPMASLEA,TLE,Contract actions temp table,Fixed Assets,,,,,__||__,TRTNUM +   OBJREF +   __||__ TRTNUM +   CPY +   OBJREF +   ,TRTNUM +   OBJREF +    __||__   TRTNUM +   CPY +   OBJREF +   
TMPMASLOF,MLF,Temporary table,Fixed Assets,,,,,__||__,TRTNUM +   OBJREF +   __||__ TRTNUM +   CPY +   OBJREF +   ,TRTNUM +   OBJREF +    __||__   TRTNUM +   CPY +   OBJREF +   
TMPMASPHY,MPY,Temporary table actions elem,Fixed Assets,PHY,,,,__||__,TRTNUM +   OBJREF +   __||__ TRTNUM +   CPY +   OBJREF +   ,TRTNUM +   OBJREF +    __||__   TRTNUM +   CPY +   OBJREF +   
TMPPAYDUD,TPD,Temporary payment proposal,A/P-A/R accounting,,,,"TABCOUNTRY  (Country table  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABPAYTYP  (Payment types  )",CPY(Company) +   PAYTYP(Payment type) +   GRPCRI(Grouping criterion (pmsim)) +   FLG(Flag) +   __||____||__AMTLOC(Ledger amount) +   __||__DUDDAT(Due date) +   ,__||__ ACCNUM(Internal number) +   DUDLIG(Due date number) +   __||__ __||__ ,CPY(Company) +   PAYTYP(Payment type) +   GRPCRI(Grouping criterion (pmsim)) +   FLG(Flag) +    __||__   ACCNUM(Internal number) +   DUDLIG(Due date number) +    __||__   AMTLOC(Ledger amount) +    __||__   DUDDAT(Due date) +   
TMPPAYDUD2,TP2,Temporary payment proposal,A/P-A/R accounting,,,,"COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABPAYTYP  (Payment types  )",__||__AMTLOC(Ledger amount) +   ,CPY(Company) +   PAYTYP(Payment type) +   GRPCRI(Grouping criterion (pmsim)) +   FLG(Flag) +   UIDUSR(Processes) +   __||__ ,CPY(Company) +   PAYTYP(Payment type) +   GRPCRI(Grouping criterion (pmsim)) +   FLG(Flag) +   UIDUSR(Processes) +    __||__   AMTLOC(Ledger amount) +   
TMPPAYTOT,PYT,Temporary payment proposal,A/P-A/R accounting,,,,"TABCUR  (Currency table  ) , FACILITY  (Sites  ) , BANK  (Bank accounts  ) , TABPAYTYP  (Payment types  )",,TRC(Log) +   PAYTYP(Payment type) +   FCY(Site) +   CUR(Currency) +   BAN(Bank) +   DUDDAT(Due date) +   SNS(Sign) +   ,TRC(Log) +   PAYTYP(Payment type) +   FCY(Site) +   CUR(Currency) +   BAN(Bank) +   DUDDAT(Due date) +   SNS(Sign) +   
TMPPLNFAS,TPF,Temporary table schedule actions,Fixed Assets,,,,,,TRTNUM +   OBJREF +   DPRPLN +   ,TRTNUM +   OBJREF +   DPRPLN +   
TMPPRPT,TPRPT,Temporary print key table,Purchasing,,,,AREPORT  (Report dictionary  ),,NUMREQ(Query no.) +   USR(Operator) +   RPTCOD(Report code) +   VCRNUM(Document no.) +   ,NUMREQ(Query no.) +   USR(Operator) +   RPTCOD(Report code) +   VCRNUM(Document no.) +   
TMPREEVAL,TRV,Temp table report DEPREEVAL,Fixed Assets,,,,,__||__,EDTNUM +   CPY +   FCY +   AASREF +   __||__ EDTNUM +   AASREF +   ,EDTNUM +   CPY +   FCY +   AASREF +    __||__   EDTNUM +   AASREF +   
TMPSIMDERO,TDS,Temporary print key table,Fixed Assets,,,,,__||__,EDTNUM +   CPY +   FCY +   AASREF +   FIYENDDAT +   PERENDDAT +   __||__ EDTNUM +   AASREF +   FIYENDDAT +   PERENDDAT +   ,EDTNUM +   CPY +   FCY +   AASREF +   FIYENDDAT +   PERENDDAT +    __||__   EDTNUM +   AASREF +   FIYENDDAT +   PERENDDAT +   
TMPSITU,TSI,Temp. table Report DEPSITU,Fixed Assets,,,,,__||__,EDTNUM +   CPY +   FCY +   AASREF +   __||__ EDTNUM +   AASREF +   ,EDTNUM +   CPY +   FCY +   AASREF +    __||__   EDTNUM +   AASREF +   
TMPSITUCUR,TSIC,Temp. table Report DEPSITU,Fixed Assets,,,,,, +   , +   
